invariant_id,sub_spec_phase_tag,evidence
INV-008,S8.1,cited
INV-011,S8.1,cited
INV-018,S8.1,cited
INV-002,S8.4,cited
INV-006,S8.4,cited
INV-008,S8.4,cited
INV-011,S8.4,cited
INV-012,S8.4,cited
INV-013,S8.4,cited
INV-001,S8.5,cited
INV-002,S8.5,cited
INV-004,S8.5,cited
INV-005,S8.5,cited
INV-008,S8.5,cited
INV-013,S8.5,cited
INV-014,S8.5,cited
INV-018,S8.5,cited
INV-024,S8.5,cited
INV-007,S8.2,cited
INV-001,S3.1,cited
INV-002,S3.1,cited
INV-004,S3.1,cited
INV-005,S3.1,cited
INV-006,S3.1,cited
INV-009,S3.1,cited
INV-011,S3.1,cited
INV-012,S3.1,cited
INV-013,S3.1,cited
INV-015,S3.1,cited
INV-016,S3.1,cited
INV-019,S3.1,cited
INV-001,S2.4,cited
INV-002,S2.4,cited
INV-004,S2.4,cited
INV-006,S2.4,cited
INV-007,S2.4,cited
INV-009,S2.4,cited
INV-010,S2.4,cited
INV-012,S2.4,cited
INV-013,S2.4,cited
INV-015,S2.4,cited
INV-018,S2.4,cited
INV-019,S2.4,cited
INV-020,S2.4,cited
INV-021,S2.4,cited
INV-022,S2.4,cited
INV-023,S2.4,cited
INV-024,S2.4,cited
INV-001,S14.1,cited
INV-002,S14.1,cited
INV-007,S14.1,cited
INV-008,S14.1,cited
INV-014,S14.1,cited
INV-020,S14.1,cited
INV-001,S14.2,cited
INV-002,S14.2,cited
INV-005,S14.2,cited
INV-006,S14.2,cited
INV-013,S14.2,cited
INV-014,S14.2,cited
INV-015,S14.2,cited
INV-018,S14.2,cited
INV-001,S0.3,cited
INV-002,S0.3,cited
INV-004,S0.3,cited
INV-005,S0.3,cited
INV-007,S0.3,cited
INV-008,S0.3,cited
INV-009,S0.3,cited
INV-010,S0.3,cited
INV-011,S0.3,cited
INV-012,S0.3,cited
INV-013,S0.3,cited
INV-014,S0.3,cited
INV-015,S0.3,cited
INV-018,S0.3,cited
INV-019,S0.3,cited
INV-020,S0.3,cited
INV-021,S0.3,cited
INV-022,S0.3,cited
INV-023,S0.3,cited
INV-024,S0.3,cited
INV-002,S0.4,cited
INV-005,S0.4,cited
INV-007,S0.4,cited
INV-014,S0.4,cited
INV-016,S0.4,cited
INV-002,S16,cited
INV-004,S16,cited
INV-005,S16,cited
INV-008,S16,cited
INV-012,S16,cited
INV-013,S16,cited
INV-014,S16,cited
INV-015,S16,cited
INV-017,S16,cited
INV-018,S16,cited
INV-027,S16,cited
INV-001,S16.1,cited
INV-002,S16.1,cited
INV-004,S16.1,cited
INV-005,S16.1,cited
INV-008,S16.1,cited
INV-010,S16.1,cited
INV-012,S16.1,cited
INV-013,S16.1,cited
INV-014,S16.1,cited
INV-017,S16.1,cited
INV-003,S16.2,cited
INV-005,S16.2,cited
INV-008,S16.2,cited
INV-011,S16.2,cited
INV-017,S16.2,cited
INV-018,S16.2,cited
INV-002,S16.3,cited
INV-005,S16.3,cited
INV-014,S16.3,cited
INV-015,S16.3,cited
INV-001,S16.4,cited
INV-002,S16.4,cited
INV-004,S16.4,cited
INV-005,S16.4,cited
INV-008,S16.4,cited
INV-012,S16.4,cited
INV-013,S16.4,cited
INV-014,S16.4,cited
INV-017,S16.4,cited
INV-024,S16.4,cited
INV-026,S16.4,cited
INV-027,S16.4,cited
INV-028,S16.4,cited
INV-004,S16.5,cited
INV-005,S16.5,cited
INV-008,S16.5,cited
INV-012,S16.5,cited
INV-013,S16.5,cited
INV-014,S16.5,cited
INV-017,S16.5,cited
INV-027,S16.5,cited
INV-005,S16.6,cited
INV-013,S16.6,cited
INV-014,S16.6,cited
INV-015,S16.6,cited
INV-017,S16.6,cited
INV-001,S16.7,cited
INV-002,S16.7,cited
INV-004,S16.7,cited
INV-005,S16.7,cited
INV-008,S16.7,cited
INV-012,S16.7,cited
INV-013,S16.7,cited
INV-014,S16.7,cited
INV-017,S16.7,cited
INV-018,S16.7,cited
INV-025,S16.7,cited
INV-001,S16.8,cited
INV-002,S16.8,cited
INV-004,S16.8,cited
INV-005,S16.8,cited
INV-008,S16.8,cited
INV-012,S16.8,cited
INV-013,S16.8,cited
INV-014,S16.8,cited
INV-017,S16.8,cited
INV-024,S16.8,cited
INV-025,S16.8,cited
INV-026,S16.8,cited
INV-003,S16.9,cited
INV-005,S16.9,cited
INV-013,S16.9,cited
INV-015,S16.9,cited
INV-016,S16.9,cited
INV-018,S16.9,cited
INV-027,S16.9,cited
INV-002,S17,cited
INV-007,S17,cited
INV-008,S17,cited
INV-014,S17,cited
INV-017,S17,cited
INV-003,S17.1,cited
INV-011,S17.1,cited
INV-017,S17.1,cited
INV-024,S17.1,cited
INV-008,S17.2,cited
INV-009,S17.2,cited
INV-014,S17.2,cited
INV-017,S17.2,cited
INV-011,S17.3,cited
INV-014,S17.3,cited
INV-017,S17.3,cited
INV-024,S17.3,cited
INV-005,S17.4,cited
INV-008,S17.4,cited
INV-014,S17.4,cited
INV-015,S17.4,cited
INV-017,S17.4,cited
INV-024,S17.4,cited
INV-009,S17.5,cited
INV-014,S17.5,cited
INV-019,S17.5,cited
INV-020,S17.5,cited
INV-021,S17.5,cited
INV-023,S17.5,cited
INV-031,S17.5,cited
INV-002,S18,cited
INV-004,S18,cited
INV-007,S18,cited
INV-008,S18,cited
INV-014,S18,cited
INV-017,S18,cited
INV-024,S18,cited
INV-028,S18,cited
INV-002,S19,cited
INV-004,S19,cited
INV-005,S19,cited
INV-008,S19,cited
INV-012,S19,cited
INV-013,S19,cited
INV-014,S19,cited
INV-017,S19,cited
INV-024,S19,cited
INV-028,S19,cited
INV-002,S20,cited
INV-005,S20,cited
INV-008,S20,cited
INV-010,S20,cited
INV-013,S20,cited
INV-014,S20,cited
INV-015,S20,cited
INV-016,S20,cited
INV-017,S20,cited
INV-021,S20,cited
INV-025,S20,cited
INV-034,S20,cited
INV-002,S21,cited
INV-004,S21,cited
INV-008,S21,cited
INV-011,S21,cited
INV-013,S21,cited
INV-014,S21,cited
INV-017,S21,cited
INV-029,S21,cited
INV-002,S22,cited
INV-004,S22,cited
INV-005,S22,cited
INV-008,S22,cited
INV-013,S22,cited
INV-017,S22,cited
INV-024,S22,cited
INV-025,S22,cited
INV-030,S22,cited
INV-001,S23,cited
INV-002,S23,cited
INV-005,S23,cited
INV-006,S23,cited
INV-009,S23,cited
INV-013,S23,cited
INV-017,S23,cited
INV-019,S23,cited
INV-023,S23,cited
INV-031,S23,cited
INV-002,S24,cited
INV-004,S24,cited
INV-005,S24,cited
INV-008,S24,cited
INV-012,S24,cited
INV-013,S24,cited
INV-014,S24,cited
INV-017,S24,cited
INV-024,S24,cited
INV-025,S24,cited
INV-002,S25,cited
INV-008,S25,cited
