wire_name,sub_spec_phase_tag,mention_count
APP_AI_DIRECT_INSTALL_ATTEMPTED_BLOCKED,S2.3,2
APP_AI_DIRECT_INSTALL_ATTEMPTED_BLOCKED,S6.5,1
APP_ECOSYSTEM_RUNTIME_BREAKOUT_ATTEMPTED,S12.1,6
APP_ECOSYSTEM_RUNTIME_BREAKOUT_ATTEMPTED,S12.3,2
APP_ECOSYSTEM_RUNTIME_BREAKOUT_ATTEMPTED,S3.2,2
APP_HONESTY_CLASS_VIOLATION,S12.1,5
APP_HONESTY_CLASS_VIOLATION,S12.4,1
APP_LAUNCH_FAILED,S12.3,9
APP_LAUNCH_STARTED,S12.3,4
APP_LAUNCH_SUCCEEDED,S12.3,5
APP_MANIFEST_DELTA_APPROVED,S12.1,3
APP_MANIFEST_DELTA_PROPOSED,S12.1,1
APP_OBSERVE_COMPLETED,S12.1,3
APP_OBSERVE_STARTED,S12.1,1
APP_OBSERVE_STARTED,S12.4,1
APP_OBSERVE_TIMEOUT,S12.1,2
APP_RECIPE_CONTRIBUTED,S12.1,2
APP_RECIPE_DECEPTIVE_REJECTED_AT_INGEST,S12.1,5
APP_RECIPE_IMPORTED,S12.1,1
APP_TRANSLATE_MANIFEST_APPROVED,S12.1,2
APP_TRANSLATE_MANIFEST_PROPOSED,S12.1,2
APP_TRANSLATE_MANIFEST_REJECTED,S12.1,2
ARTIFACT_RECORDED,S6.2,4
ARTIFACT_RECORDED,S6.3,4
BACKEND_DEGRADED_NFTABLES_TO_IPTABLES,S8.1,3
BACKEND_VERSION_MISMATCH,S14.1,13
BINDING_VOIDED_ACTION_REVISED,S0.3,1
BINDING_VOIDED_ACTION_REVISED,S10.1,4
BIOS_UEFI_UPDATE_DEFERRED,S8.5,3
BOOTSTRAP_KEY_USE_AFTER_EXHAUST_BLOCKED,S5.2,5
BOOT_FAILURE_AUTO_RECOVERY_TRIGGERED,S9.1,2
BRIDGE_BLACKLISTED,S11.3,3
BRIDGE_BLACKLIST_LIFTED,S11.3,1
BRIDGE_DECEPTIVE_REJECTED,S11.3,8
BRIDGE_DEFERRED_NEEDS_REVIEW,S11.3,1
BRIDGE_DEGRADED_UPSTREAM_UNAVAILABLE,S11.3,5
BRIDGE_FETCH_COMPLETED,S11.3,8
BRIDGE_FETCH_STARTED,S11.3,8
BRIDGE_METADATA_DRIFT_DETECTED,S11.3,1
BRIDGE_METADATA_IMPORTED,S11.3,5
BRIDGE_OPERATOR_CONSENT_GRANTED,S11.3,1
BRIDGE_RATE_LIMIT_EXCEEDED,S11.3,5
BRIDGE_RECIPE_IMPORTED,S11.3,3
BRIDGE_REPACKAGED_WITH_AIOS_KEY,S11.3,7
BRIDGE_TRUST_CLASS_DECEPTION_DETECTED,S11.3,7
BRIDGE_UPSTREAM_SIGNATURE_FAILED,S11.3,7
BRIDGE_UPSTREAM_SIGNATURE_VERIFIED,S11.3,5
BUILD_PASSED,S13.1,1
BUILD_PASSED,S6.2,12
BUILD_PASSED,S6.3,6
BUILD_PASSED,S6.4,1
CAPABILITY_BUNDLE_REJECTED,S14.1,2
CAPABILITY_LIE_DETECTED,S11.1,9
CAPABILITY_LIE_DETECTED,S11.2,3
CAPABILITY_LIE_DETECTED,S11.3,1
CAPABILITY_LIE_DETECTED,S12.1,6
CAPABILITY_REVIEW_APPROVED,S11.2,4
CAPABILITY_REVIEW_DECEPTIVE_REJECTED,S11.2,3
CAPABILITY_REVIEW_REQUESTED,S11.2,1
CHAIN_CHECKPOINT,S0.3,3
CHAIN_CHECKPOINT,S6.3,2
CHAIN_INCONSISTENCY_DETECTED,S0.3,1
CHAIN_INCONSISTENCY_DETECTED,S14.2,1
CHAIN_INCONSISTENCY_DETECTED,S5.4,4
CHAIN_INCONSISTENCY_DETECTED,S6.3,5
CIRCUIT_BREAKER_CLOSED,S14.1,3
CIRCUIT_BREAKER_OPENED,S14.1,4
CIRCUIT_BREAKER_OPENED,S15.1,1
CLI_ANSI_INJECTION_BLOCKED,S7.6,8
CLI_AUTO_CONFIRM_REJECTED,S7.6,11
CLI_DEGRADED_NO_TTY,S7.6,8
CLI_NODE_KIND_UNSUPPORTED,S7.6,5
CLI_OPERATOR_AUTHENTICATED,S7.6,8
CLI_RECOVERY_KIND_REJECTED,S7.6,8
CLI_RENDER_FAILED,S7.6,6
